"रवींद्र,दाणी"
उजळंबकर
"श्री,उजळंबकर"
"गंगावती,कुलकर्णी"
"कृ,मु,उजळंबकर"
"कृ,मु,उजळंबकर"
"कृ,मु,उजळंबकर"
"कृ,मु,उजळंबकर"
"कृ,मु,उजळंबकर"
"कृ,मु,उजळंबकर"
"कृ,मु,उजळंबकर"
"कृ,मु,उजळंबकर"
"गंगावती,कुलकर्णी"
"जे,कृष्णमूर्ती"
"जे,कृष्णमूर्ती"
"जे,कृष्णमूर्ती"
"मोहन,जोशी"
भिशीकर
"डॉ,वांगीकर"
"वा,ल,जैतापकर"
"रोहिणी,चितळे"
"डॉ,सत्यशील"
स्वामी
"प्रो,जी,एम,कार्लेकर"
"स्वामी,विरानंद"
"कृ,मु,उजळंबकर"
इतर
"डॉ,दास्ताने"
"सौ,आगासे"
"प्रा,संजीव,नलावडे"
"सुधीर,र,चौधरी"
"सुधाकर,काळे"
"डॉ,प्रभा,अत्रे"
"अरुण,हरकरे"
"आशा,परुळेकर"
"जयंत,रानडे"
"डॉ,दास्ताने"
"प्रा,मोहन,आपटे"
"प्रसाद,केरकर"
"प्रा,जोशी"
"डॉ,सबनीस"
"अरुण,ढेरे"
"डॉ,उल्हास,कोल्हटकर"
"संजीव,नलावडे"
"संजीव,नळावडे"
"डॉ,संतोष,दास्ताने"
शिरीष
हळदणकर
"गंगाधर,महाम्बरे"
"डॉ,श्रीराम,कामात"
"वनराज,साळवी"
"एन,डी,कांबळे"
"आर,डी,सोनार"
"रामदास,पाध्ये"
"श्रीराम,रानडे"
"वा,ज्यो,देशपांडे"
"ग,प्र,परांजपे"
"सु,ह,जोशी"
"सु,ह,जोशी"
"सौ,शशिकला,उपाध्ये"
"कृ,पं,देशपांडे"
"सौ,मेधा,सिधये"
"म,वि,सोवनी"
"सौ,अंजली,पेंडसे"
"प्र,के,घाणेकर"
"प्र,के,घाणेकर"
"पंडित,विद्यासागार"
"प्रा,रवींद्र,कोठावदे"
"दि,गो,वारवास्कर"
"अ,दि,कोकड"
"अ,दि,कोकड"
"सुनिल,अंबिके"
इतर
"बी,टी,कुलकर्णी"
संपादक
संपादक
"गौतम,शिंदे"
"डॉ,विद्या,देवधरं"
"डॉ,दादा,गोरे"
"संक,दत्ता,देसाई"
संपादक
"डॉ,अशोक,चौसाळकर"
संपादक
संपादक
संपादक
"सुधाकर,व,सौ,वर्षा,प्रभु"
"रा,दा,करमरकर"
"आ,ग,कुलकर्णी"
"मोहन,सराफ"
"प्रा,श्री,वि,खेर"
"श्याम,भुर्के"
"प्रभाकर,दिघे"
"संग्रा,गो,सी,गोखरे"
"संग्रा,गो,सी,गोखरे"
"संग्रा,गो,सी,गोखरे"
"संग्रा,गो,सी,गोरखरे"
"संग्रा,गो,सी,गोरखरे"
"सचिन,कानिटकर"
"दिपक,भागवत"
"जयंत,रानडे"
"केशव,रा,फडणीस"
"प्र,के,अत्रे"
"वसंत,विष्णु,लोणकर"
"अनु,रंगा,मराठे"
"माधव,गडकरी"
"व्यंकटेश,माडगूळकर"
"अनु,गो,नी,पुरंदरे"
"संपादक,पवार"
"मनोहर,पानसरे"
संपादक
"म,वि,सोवनी"
"श्री,यशवंतराव,चव्हाण"
"शब्दां,वारघडे"
"शब्दां,वारघडे"
"शब्दां,वारघडे"
सुरेशचंद्र
"पु,ला,देशपांडे"
"शरदचंद्र,गोखले"
"पु,ल,देशपांडे"
"ग,वि,केतकर"
संपादक
"स्वामी,विवेकानंद"
"वि,आ,बुवा"
संपादक
"सौ,मनिषा,राजेंद्र"
"प्रा,आगाशे"
संपादक
"नीलकंठ,खाडीलकर"
संपादक
"पांडुरंग,काळे"
"प्रा,स्वाती,कर्वे"
"सुभाष,भेण्डे"
"खुशवंत,सिंग"
"डॉ,सुमति,कुलकर्णी"
"प्रतिभा,काळे"
"ज,ग,जाधव"
"संक,बाळासाहेब,बाबर"
"राम,कुलकर्णी"
"श्री,माधव,पंडित"
"नंदकुमार,टेणी"
"ज्ञानेश,महाराव"
"अरुण,टिकेकर"
"आर,जी,पारगावकर"
"अनंत,भावे"
शिरीष
"प्रा,पी,एस,चंगोळे"
"ताराबाई,शिंदे"
संपादक
"डॉ,सुलभा,ब्रह्मे"
"अविनाश,बिनीवाले"
"मिखाईल,गोबाचेव्ह"
संपादक
"वयंकटेश,माडगूळकर"
"अनु,ह,अ,भावे"
"वसंत,शां,देसाई"
संपादक
"भाई,अमरसिंग"
संपादक
संपादक
संपादक
संपादक
संपादक
संपादक
संपादक
"एस,एल,गुलाटी"
संपादक
संपादक
संपादक
संपादक
संपादक
संपादक
"डेव्ह,अँड,ड्यूक"
"डॉ,विश्वास,मेहेंदळे"
"आदी,कोकड"
"अ,दि,कोकड"
"अ,दि,कोकड"
"अ,दि,कोकड"
"अ,दि,कोकड"
"अ,दि,कोकड"
"हेमचंद्र,राजे"
"र,का,सावंत"
"सचिन,शहा"
"सचिन,शहा"
"अ,दि,कोकड"
"अ,दि,कोकडं"
"अ,दि,कोकडं"
"अ,दि,कोकड"
"अ,दि,कोकड"
"अ,दि,कोकड"
"अ,दि,कोकड"
"अ,दि,कोकड"
"द,गो,मांदळे"
"मुकुंद,टेकाडे"
"राजा,मंगळवेढेकर"
"सौ,नीलम,माणगावे"
"चंद्रशेखर,धर्माधिकारी"
"वि,वा,शिरवाडकर"
"अरुण,सारथी"
"आनंद,केळकर"
"दवणे,प्रवीण"
"मधू,पोतदार"
"प्र,के,अत्रे"
"व,दे,गवाणकर"
"आबासाहेब,आचरेकर"
"अनु,अरविंद,लेले"
"विजय,कुवळेकर"
"व,पु,काळे"
"डॉ,प्रभाकर,चौधरी"
"शंकर,सारडा"
"आणा,डांगे"
"इंदिरा,संत"
"माधव,गडकरी"
"माधव,गडकरी"
"गंगाधर,इंदूरकर"
"डॉ,सुधीर,राशिंगकर"
"अनु,करुणा,गोखले"
"अंजली,पेंडसे"
"शिरीष,पै"
"अविनाश,धर्माधिकारी"
"श्री,ना,पेंडसे"
"विजय,तेंडुलकर"
"पां,भा,डिंगरे"
"रवींद्र,पिंगे"
"माधव,गोडबोले"
"माधव,गडकरी"
"कुसुम,कानेटकर"
"राम,शेवाळकर"
"माधव,गडकरी"
"माधव,गडकरी"
"डॉ,जया,सागडे"
"डॉ,उल्हास,तुळपुळे"
"संतोष,दास्ताने"
"डॉ,जयंत,नारळीकर"
"लता,राजे"
"दिलीप,पारेख"
"अप्पा,पटवर्धन"
"मी,त्र्यं,सप्तर्षी"
"भाऊ,धर्माधिकारी"
"हा,भा,वाघोळीकर"
"श्री,ब,चाफेकर"
"सुषमा,जोशी"
"नंदकुमार,कुळथे"
"अनंत,जोशी"
"आर,एन,गुळाटि"
"विधा,बापट"
"सुधा,भिडे"
"प्रकाश,जोगळेकर"
"विलास,खोळे"
"श्याम,मराठे"
"सुधा,भिडे"
"डॉ,वि,य,कुलकर्णी"
"मधुसूदन,घाणेकर"
"बाळ,गाडगीळ"
"विजया,राजाध्यक्ष"
"वि,शं,पारगावकर"
"डॉ,किशोरी,पै"
"गंगादर,गाडगीळ"
"गंगाधर,महाम्बरे"
"डॉ,लीला,पाटील"
"विजया,वाड"
"श्रीराम,गीत"
"अनु,मीना,टाकथाकार"
"राम,शेवाळकर"
"राजा,राजवाडे"
"गोविंद,शं,बापट"
"शांता,ज,शेळके"
"श्याम,मराठे"
"वि,गो,भागवत"
"रवींद्र,पिंगे"
"प्रवीण,दवणे"
"शैलजा,भेद"
"गोविंद,तळवळकर"
"मारुती,चित्तमपल्ली"
"आशा,परुळेकर"
"प्रल्हाद,केशव,अत्रे"
"शंकरराव,खरात"
"शिवाजी,सावंत"
"शांता,ज,शेळके"
"शुभांगी,सूर्यवंशी"
संपादक
संपादक
"विश्वास,मेहेंदळे"
"डॉ,प्र,चिं,शेजवळकर"
"छाया,गोडबोले"
"यशवंत,स,दातार"
"जनार्दन,करंदीकर"
संपादक
"क्षमा,वा,कुलकर्णी"
"प्रा,रा,सो,सराफ"
"व,पु,काळे"
"राजेंद्र,मंत्री"
"शंकर,सारडा"
"शंकर,सारडा"
"डॉ,शशिकांत,देशपांडे"
"व,पु,काळे"
"शऱू,रांगणेकर"
"बापू,वाटवे"
"फुले,गुरूजी"
"ज्ञानेश,महाराव"
संपादक
"डॉ,अनिल,जगदाळे"
"श्री,के,पी,भागवत"
"अविनाश,धर्माधिकारी"
"दिलीप,प्रभोळकर"
"राम,शेवाळकर"
"डॉ,बाबासाहेब,आंबेडकर"
